Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T05b_D61,T05,5,D6,Ambiant,Ctrl,2,1.02,0.83,0.19,0.2,"186,274,509,803,922",NA,"186,274,509,803,922","19,399,964,367,126","891,259,198,039,216","968,510,536,712,599",0.524270116,0.56971208,0.052427012,0.056971208,"20,344,762","1,431,825",-0.00419291,0.00419291
T05c_D62,T05,5,D6,Ambiant,Ctrl,3,1.03,0.87,0.16,0.2,"155,339,805,825,243",NA,"155,339,805,825,243","19,399,964,367,126","581,912,158,252,427","968,510,536,712,599",0.34230127,0.56971208,0.034230127,0.056971208,"20,344,762","1,431,825",-0.00419291,0.00419291
T15a_D63,T15,15,D6,Ambiant,Ctrl,1,1.06,0.75,0.31,0.293333333,"292,452,830,188,679","277,538,185,085,355","292,452,830,188,679","277,538,185,085,355","195,304,240,188,679","180,389,595,085,355","114,884,847,169,811","106,111,526,520,797",0.114884847,0.106111527,"20,344,762","1,431,825",-0.006195373,0.006195373
T15b_D62,T15,15,D6,Ambiant,Ctrl,2,1.05,0.78,0.27,0.293333333,"257,142,857,142,857",NA,"257,142,857,142,857","277,538,185,085,355","159,994,267,142,857","180,389,595,085,355",0.941142748,"106,111,526,520,797",0.094114275,0.106111527,"20,344,762","1,431,825",-0.006195373,0.006195373
T15d_D61,T15,15,D6,Ambiant,Ctrl,2,1.06,0.76,0.3,0.293333333,"283,018,867,924,528",NA,"283,018,867,924,528","277,538,185,085,355","185,870,277,924,528","180,389,595,085,355","109,335,457,602,664","106,111,526,520,797",0.109335458,0.106111527,"20,344,762","1,431,825",-0.006195373,0.006195373
T27a_D61,T27,27,D6,Ambiant,Ctrl,0,1.07,0.62,0.45,0.416666667,"420,560,747,663,551","397,983,367,801,949","420,560,747,663,551","397,983,367,801,949","323,412,157,663,552","300,834,777,801,949","190,242,445,684,442","176,961,634,001,147",0.190242446,0.176961634,"20,344,762","1,431,825",-0.007988048,0.007988048
T27c_D62,T27,27,D6,Ambiant,Ctrl,2,1.05,0.66,0.39,0.416666667,"371,428,571,428,571",NA,"371,428,571,428,571","397,983,367,801,949","274,279,981,428,571","300,834,777,801,949","161,341,165,546,219","176,961,634,001,147",0.161341166,0.176961634,"20,344,762","1,431,825",-0.007988048,0.007988048
T27d_D63,T27,27,D6,Ambiant,Ctrl,2,1.02,0.61,0.41,0.416666667,"401,960,784,313,726",NA,"401,960,784,313,726","397,983,367,801,949","304,812,194,313,725","300,834,777,801,949","17,930,129,077,278","176,961,634,001,147",0.179301291,0.176961634,"20,344,762","1,431,825",-0.007988048,0.007988048
T05a_D71,T05,5,D7,Warm,Ctrl,2,1.02,0.83,0.19,0.203333333,"186,274,509,803,922","19,961,593,532,283","186,274,509,803,922","19,961,593,532,283","891,259,198,039,216","10,246,734,532,283",0.524270116,0.60274909,0.052427012,0.060274909,"1,798,817","1,357,625",-0.007826738,0.007826738
T05b_D72,T05,5,D7,Warm,Ctrl,1,1.01,0.76,0.25,0.203333333,"247,524,752,475,248",NA,"247,524,752,475,248","19,961,593,532,283","150,376,162,475,248","10,246,734,532,283",0.884565662,0.60274909,0.088456566,0.060274909,"1,798,817","1,357,625",-0.007826738,0.007826738
T05c_D73,T05,5,D7,Warm,Ctrl,3,1.03,0.86,0.17,0.203333333,"16,504,854,368,932",NA,"16,504,854,368,932","19,961,593,532,283","678,999,536,893,204","10,246,734,532,283",0.399411492,0.60274909,0.039941149,0.060274909,"1,798,817","1,357,625",-0.007826738,0.007826738
T15a_D71,T15,15,D7,Warm,Ctrl,1,1.05,0.77,0.28,0.276666667,"266,666,666,666,667","270,261,437,908,497","266,666,666,666,667","270,261,437,908,497","169,518,076,666,667","173,112,847,908,497",0.997165157,"101,831,087,004,998",0.099716516,0.101831087,"1,798,817","1,357,625",-0.007109164,0.007109164
T15b_D72,T15,15,D7,Warm,Ctrl,1,1.02,0.72,0.3,0.276666667,"294,117,647,058,824",NA,"294,117,647,058,824","270,261,437,908,497","196,969,057,058,824","173,112,847,908,497","115,864,151,211,073","101,831,087,004,998",0.115864151,0.101831087,"1,798,817","1,357,625",-0.007109164,0.007109164
T15c_D73,T15,15,D7,Warm,Ctrl,2,1,0.75,0.25,0.276666667,25,NA,25,"270,261,437,908,497","15,285,141","173,112,847,908,497",0.899125941,"101,831,087,004,998",0.089912594,0.101831087,"1,798,817","1,357,625",-0.007109164,0.007109164
T27b_D73,T27,27,D7,Warm,Ctrl,0,1.01,0.58,0.43,0.46,"425,742,574,257,426","442,153,784,111,565","425,742,574,257,426","442,153,784,111,565","328,593,984,257,426","345,005,194,111,565","193,290,578,974,956","202,944,231,830,332",0.193290579,0.202944232,"1,798,817","1,357,625",-0.018261637,0.018261637
T27c_D72,T27,27,D7,Warm,Ctrl,0,1.06,0.61,0.45,0.46,"424,528,301,886,793",NA,"424,528,301,886,792","442,153,784,111,565","327,379,711,886,792","345,005,194,111,565","192,576,301,109,878","202,944,231,830,332",0.192576301,0.202944232,"1,798,817","1,357,625",-0.018261637,0.018261637
T27d_D71,T27,27,D7,Warm,Ctrl,0,1.05,0.55,0.5,0.46,"476,190,476,190,476",NA,"476,190,476,190,476","442,153,784,111,565","379,041,886,190,476","345,005,194,111,565","222,965,815,406,162","202,944,231,830,332",0.222965815,0.202944232,"1,798,817","1,357,625",-0.018261637,0.018261637
